xh,qzns,swls,ssls,qcrs
1,0~,51,0,1166
2,2~,45,0,1115
3,4~,66,1,1070
4,6~,56,1,1003
5,8~,65,20,946
6,10~,61,26,861
7,12~,75,27,774
8,14~,67,0,672
9,16~,59,2,605
10,18~,43,19,544
11,20~,61,19,482
12,22~,56,43,402
13,24~,34,30,303
14,26~,25,22,239
15,28~,30,17,192
16,30~,24,17,145
17,32~,11,15,104
18,34~,13,19,78
19,36~,6,24,46
20,38~,5,5,16
21,40~,1,1,6
22,42~,1,3,4
