X
58.02
52.7
60.22
44.49
59.31
56.23
55.16
42.48
50.84
49.38
55.16
53.47
71.9
56.35
70.08
56.6
68.25
63.36
66.12
50.02
66.97
67.05
69.89
61.08
66.27
60.59
66.12
55.36
53.39
52.34
55.16
58.64
44.01
52.49
59.99
61.08
